Country,Year,Food Types, Total Waste in Tons , Food Economic Loss (Million $) , Avg Waste per Capita (Kg) , Country Population (Million) (Not Accurate) , Household Waste (%) 
Spain,2020,Grains & Cereals," 31,992 "," 31,111 ", 89 , 305 , 60 
Italy,2019,Prepared Food," 3,008 "," 2,560 ", 109 ," 1,312 ", 40 
Spain,2023,Bakery Items," 26,866 "," 29,649 ", 172 ," 1,243 ", 65 
Turkey,2021,Fruits & Vegetables," 41,913 "," 38,652 ", 31 , 82 , 66 
South Korea,2018,Grains & Cereals," 35,789 "," 40,300 ", 119 , 258 , 44 
Italy,2021,Grains & Cereals," 40,825 "," 44,057 ", 159 , 391 , 37 
Mexico,2020,Frozen Food," 33,829 "," 37,634 ", 58 , 965 , 54 
Russia,2018,Grains & Cereals," 33,169 "," 31,096 ", 89 , 798 , 31 
India,2019,Frozen Food," 40,011 "," 42,793 ", 87 , 832 , 38 
UK,2019,Bakery Items," 11,189 "," 9,814 ", 101 , 623 , 56 
Mexico,2022,Meat & Seafood," 49,189 "," 44,353 ", 165 , 659 , 64 
Canada,2022,Dairy Products," 8,075 "," 9,515 ", 193 , 552 , 63 
Canada,2023,Frozen Food," 10,962 "," 12,576 ", 177 , 978 , 32 
Brazil,2022,Bakery Items," 37,256 "," 39,190 ", 39 ," 1,200 ", 60 
Brazil,2018,Fruits & Vegetables," 49,446 "," 52,899 ", 46 ," 1,014 ", 35 
Germany,2022,Dairy Products, 741 , 832 , 53 ," 1,360 ", 34 
Brazil,2018,Grains & Cereals," 2,437 "," 2,217 ", 61 , 909 , 60 
Argentina,2018,Prepared Food," 11,182 "," 13,165 ", 123 , 41 , 34 
UK,2022,Dairy Products," 49,530 "," 52,776 ", 119 , 903 , 41 
South Korea,2019,Frozen Food," 31,383 "," 36,152 ", 67 ," 1,205 ", 34 
Spain,2018,Beverages," 26,442 "," 27,001 ", 103 , 425 , 38 
China,2018,Dairy Products," 9,961 "," 11,541 ", 71 , 982 , 61 
Canada,2022,Dairy Products," 25,268 "," 22,720 ", 61 , 353 , 32 
Russia,2019,Dairy Products," 3,733 "," 4,169 ", 114 ," 1,019 ", 57 
France,2018,Bakery Items," 13,445 "," 14,984 ", 164 , 512 , 51 
Mexico,2022,Fruits & Vegetables," 42,384 "," 36,474 ", 67 , 944 , 55 
Indonesia,2019,Beverages," 23,745 "," 20,352 ", 20 , 60 , 68 
Russia,2024,Meat & Seafood," 7,621 "," 8,232 ", 175 ," 1,323 ", 62 
USA,2018,Frozen Food," 46,203 "," 51,021 ", 64 ," 1,231 ", 59 
Argentina,2022,Fruits & Vegetables," 49,520 "," 43,992 ", 53 ," 1,390 ", 31 
India,2020,Prepared Food," 5,505 "," 6,280 ", 37 , 742 , 63 
China,2020,Fruits & Vegetables," 28,052 "," 32,721 ", 142 , 417 , 42 
Japan,2023,Beverages," 36,014 "," 34,055 ", 29 ," 1,219 ", 46 
India,2020,Dairy Products," 32,563 "," 33,379 ", 36 ," 1,181 ", 34 
Mexico,2019,Beverages," 8,971 "," 10,242 ", 51 , 118 , 38 
South Korea,2018,Prepared Food," 8,376 "," 9,835 ", 174 , 103 , 55 
Canada,2023,Grains & Cereals," 42,829 "," 44,224 ", 108 ," 1,372 ", 39 
Mexico,2018,Prepared Food," 11,622 "," 13,271 ", 173 ," 1,099 ", 41 
Canada,2024,Dairy Products," 47,299 "," 47,089 ", 69 ," 1,088 ", 51 
Turkey,2018,Bakery Items," 32,067 "," 35,583 ", 68 ," 1,069 ", 58 
Turkey,2020,Beverages," 20,254 "," 19,828 ", 142 ," 1,243 ", 56 
Russia,2021,Bakery Items," 16,436 "," 13,228 ", 189 , 834 , 66 
Canada,2020,Fruits & Vegetables," 7,871 "," 6,644 ", 70 , 452 , 44 
Canada,2021,Dairy Products," 17,352 "," 19,073 ", 126 , 622 , 63 
Germany,2021,Grains & Cereals," 48,936 "," 52,004 ", 110 , 211 , 33 
UK,2018,Meat & Seafood," 45,513 "," 41,588 ", 34 ," 1,267 ", 65 
Italy,2024,Bakery Items," 13,589 "," 12,125 ", 192 , 431 , 39 
India,2024,Bakery Items," 42,905 "," 43,781 ", 147 , 867 , 33 
Italy,2019,Frozen Food," 13,942 "," 11,285 ", 183 , 793 , 53 
Italy,2021,Dairy Products," 6,633 "," 6,268 ", 38 , 247 , 35 
Mexico,2022,Bakery Items," 39,084 "," 38,766 ", 137 , 443 , 53 
Japan,2021,Grains & Cereals," 24,683 "," 29,268 ", 96 , 652 , 66 
Canada,2022,Dairy Products," 37,497 "," 42,212 ", 157 , 70 , 46 
India,2019,Bakery Items," 15,309 "," 17,659 ", 56 , 767 , 58 
Indonesia,2020,Bakery Items," 9,225 "," 9,885 ", 120 , 933 , 54 
Germany,2022,Bakery Items," 17,933 "," 16,339 ", 55 , 534 , 36 
France,2022,Prepared Food," 47,744 "," 53,651 ", 32 , 760 , 51 
France,2023,Bakery Items," 24,943 "," 22,397 ", 157 , 791 , 31 
Mexico,2019,Meat & Seafood," 21,830 "," 25,942 ", 135 , 889 , 50 
UK,2024,Grains & Cereals," 38,667 "," 32,166 ", 104 , 760 , 42 
Saudi Arabia,2022,Prepared Food," 1,453 "," 1,464 ", 151 , 968 , 59 
Brazil,2022,Dairy Products," 11,765 "," 13,642 ", 174 ," 1,237 ", 53 
UK,2023,Meat & Seafood," 20,557 "," 17,090 ", 48 ," 1,129 ", 36 
South Africa,2018,Fruits & Vegetables," 6,608 "," 6,139 ", 71 , 535 , 39 
Russia,2022,Meat & Seafood," 17,362 "," 16,344 ", 139 , 710 , 70 
Canada,2023,Prepared Food," 32,521 "," 32,543 ", 136 , 754 , 58 
China,2020,Frozen Food," 48,690 "," 41,106 ", 93 , 746 , 59 
USA,2020,Bakery Items," 29,314 "," 30,310 ", 144 ," 1,292 ", 62 
France,2019,Meat & Seafood," 22,523 "," 25,385 ", 197 , 939 , 68 
Mexico,2023,Bakery Items," 41,432 "," 41,218 ", 88 , 645 , 47 
Turkey,2020,Bakery Items," 13,614 "," 13,351 ", 67 , 320 , 37 
Turkey,2019,Bakery Items," 44,603 "," 51,870 ", 25 ," 1,182 ", 67 
Russia,2023,Fruits & Vegetables," 33,865 "," 38,931 ", 114 , 354 , 50 
Turkey,2022,Meat & Seafood," 34,057 "," 39,021 ", 184 , 362 , 48 
UK,2022,Dairy Products," 4,585 "," 5,242 ", 191 , 684 , 60 
Indonesia,2023,Dairy Products," 3,192 "," 3,289 ", 59 , 842 , 35 
Canada,2019,Bakery Items," 37,476 "," 30,740 ", 87 , 992 , 53 
Brazil,2018,Fruits & Vegetables," 15,547 "," 12,545 ", 150 ," 1,167 ", 68 
Indonesia,2020,Prepared Food," 33,359 "," 35,917 ", 165 ," 1,076 ", 56 
France,2018,Bakery Items," 1,509 "," 1,646 ", 71 ," 1,346 ", 37 
UK,2021,Dairy Products," 38,784 "," 31,056 ", 23 , 578 , 33 
China,2020,Grains & Cereals," 14,578 "," 12,421 ", 28 , 989 , 51 
Saudi Arabia,2018,Beverages," 38,112 "," 34,589 ", 193 ," 1,340 ", 41 
Saudi Arabia,2022,Beverages," 24,701 "," 25,708 ", 55 ," 1,018 ", 57 
Japan,2023,Meat & Seafood," 7,153 "," 7,577 ", 162 , 774 , 68 
Russia,2018,Meat & Seafood," 24,143 "," 22,275 ", 101 , 183 , 56 
Spain,2023,Dairy Products," 19,324 "," 22,477 ", 133 , 132 , 32 
Mexico,2023,Meat & Seafood, 515 , 468 , 79 , 71 , 57 
South Africa,2024,Dairy Products," 42,245 "," 47,490 ", 110 , 910 , 48 
China,2020,Grains & Cereals," 44,946 "," 52,772 ", 73 , 965 , 57 
Saudi Arabia,2018,Grains & Cereals," 31,149 "," 36,064 ", 187 , 797 , 54 
Canada,2022,Grains & Cereals," 19,812 "," 21,933 ", 39 ," 1,006 ", 45 
Saudi Arabia,2019,Prepared Food," 44,531 "," 45,440 ", 160 ," 1,323 ", 33 
South Africa,2020,Prepared Food," 43,498 "," 35,854 ", 35 , 856 , 69 
USA,2023,Bakery Items," 37,467 "," 37,018 ", 42 , 575 , 54 
Australia,2020,Dairy Products," 42,719 "," 36,764 ", 103 , 863 , 43 
Turkey,2024,Fruits & Vegetables," 25,478 "," 26,273 ", 143 , 433 , 56 
Saudi Arabia,2019,Prepared Food," 33,716 "," 28,975 ", 182 , 309 , 66 
South Africa,2022,Beverages," 33,231 "," 33,767 ", 114 ," 1,233 ", 50 
Mexico,2022,Beverages," 12,742 "," 12,835 ", 66 , 684 , 42 
Australia,2018,Beverages," 49,779 "," 43,170 ", 37 , 459 , 64 
UK,2020,Fruits & Vegetables," 20,105 "," 20,917 ", 107 , 707 , 64 
USA,2024,Beverages," 38,467 "," 45,817 ", 135 , 901 , 40 
Russia,2022,Beverages," 29,562 "," 27,591 ", 170 , 950 , 40 
UK,2022,Grains & Cereals," 2,157 "," 2,051 ", 28 ," 1,300 ", 45 
Saudi Arabia,2020,Fruits & Vegetables," 26,369 "," 23,937 ", 155 , 29 , 41 
Russia,2018,Fruits & Vegetables," 33,563 "," 39,534 ", 139 , 828 , 62 
Mexico,2020,Frozen Food," 9,609 "," 8,929 ", 187 , 62 , 42 
Indonesia,2020,Frozen Food," 21,546 "," 17,859 ", 112 , 743 , 66 
Argentina,2021,Fruits & Vegetables," 49,285 "," 58,669 ", 129 , 57 , 43 
Canada,2020,Fruits & Vegetables," 25,902 "," 29,647 ", 189 , 489 , 44 
Saudi Arabia,2018,Dairy Products," 10,603 "," 12,100 ", 36 , 314 , 68 
China,2018,Bakery Items," 5,503 "," 6,029 ", 192 , 853 , 68 
Argentina,2018,Bakery Items," 9,028 "," 7,670 ", 28 , 998 , 63 
Spain,2023,Meat & Seafood," 11,863 "," 10,071 ", 136 ," 1,385 ", 41 
Indonesia,2023,Fruits & Vegetables," 11,877 "," 9,911 ", 165 , 269 , 62 
Indonesia,2023,Bakery Items," 22,177 "," 19,045 ", 107 ," 1,124 ", 63 
France,2023,Grains & Cereals," 17,060 "," 15,970 ", 183 , 97 , 70 
Spain,2018,Dairy Products," 22,080 "," 24,758 ", 62 ," 1,373 ", 48 
Italy,2018,Dairy Products," 29,030 "," 28,893 ", 154 , 763 , 46 
South Korea,2019,Dairy Products," 10,124 "," 10,161 ", 154 , 243 , 34 
South Africa,2020,Frozen Food," 41,869 "," 41,562 ", 118 ," 1,391 ", 44 
Canada,2020,Bakery Items," 30,613 "," 29,423 ", 69 , 842 , 53 
Mexico,2018,Beverages," 16,677 "," 15,802 ", 140 ," 1,309 ", 51 
France,2024,Grains & Cereals," 4,646 "," 5,532 ", 31 , 351 , 55 
South Korea,2024,Bakery Items," 7,711 "," 8,555 ", 82 , 38 , 32 
USA,2022,Meat & Seafood," 39,572 "," 37,077 ", 90 , 613 , 53 
Russia,2024,Fruits & Vegetables," 43,630 "," 40,013 ", 21 , 787 , 44 
South Africa,2019,Grains & Cereals," 34,179 "," 37,491 ", 182 , 147 , 39 
France,2021,Frozen Food," 32,643 "," 31,510 ", 48 , 552 , 53 
South Korea,2021,Prepared Food," 13,764 "," 13,331 ", 84 , 599 , 61 
Indonesia,2023,Frozen Food," 37,590 "," 35,782 ", 80 ," 1,204 ", 35 
France,2020,Frozen Food," 47,545 "," 38,387 ", 153 , 630 , 60 
USA,2023,Meat & Seafood," 4,220 "," 4,952 ", 38 , 290 , 54 
South Korea,2018,Dairy Products," 20,192 "," 22,577 ", 148 , 22 , 30 
UK,2019,Dairy Products," 48,065 "," 43,609 ", 75 , 426 , 51 
UK,2024,Beverages," 28,113 "," 22,698 ", 109 , 191 , 33 
Russia,2024,Fruits & Vegetables," 32,750 "," 35,677 ", 131 , 574 , 57 
UK,2018,Frozen Food," 18,838 "," 16,087 ", 53 ," 1,219 ", 45 
Russia,2024,Grains & Cereals," 46,372 "," 48,184 ", 182 , 453 , 45 
China,2018,Meat & Seafood," 40,725 "," 34,325 ", 167 , 832 , 67 
Russia,2021,Frozen Food," 28,670 "," 30,461 ", 108 , 721 , 41 
Italy,2022,Prepared Food," 27,081 "," 24,871 ", 52 ," 1,102 ", 58 
Canada,2019,Bakery Items," 13,508 "," 15,871 ", 176 , 481 , 37 
Russia,2020,Prepared Food," 3,043 "," 2,750 ", 144 , 493 , 59 
South Africa,2023,Beverages," 8,390 "," 7,380 ", 155 ," 1,172 ", 56 
Argentina,2023,Fruits & Vegetables," 40,294 "," 35,993 ", 157 , 620 , 67 
Canada,2019,Meat & Seafood," 22,943 "," 19,761 ", 40 ," 1,156 ", 35 
Italy,2023,Frozen Food," 40,852 "," 40,926 ", 47 ," 1,080 ", 34 
Turkey,2019,Prepared Food," 34,166 "," 40,938 ", 106 , 420 , 44 
Russia,2019,Prepared Food," 31,131 "," 34,061 ", 94 , 208 , 63 
Brazil,2023,Grains & Cereals," 14,250 "," 14,160 ", 77 , 639 , 48 
Indonesia,2018,Dairy Products," 5,963 "," 5,420 ", 79 , 182 , 53 
Argentina,2021,Fruits & Vegetables," 44,002 "," 46,101 ", 128 , 828 , 37 
Saudi Arabia,2020,Dairy Products," 28,280 "," 25,265 ", 67 , 910 , 52 
Australia,2021,Dairy Products," 5,147 "," 4,816 ", 137 , 603 , 48 
Russia,2019,Fruits & Vegetables," 6,995 "," 6,099 ", 52 , 51 , 57 
Turkey,2022,Prepared Food," 7,697 "," 8,451 ", 77 ," 1,340 ", 42 
Brazil,2023,Dairy Products," 32,010 "," 35,709 ", 64 ," 1,232 ", 53 
South Korea,2023,Frozen Food," 4,159 "," 4,791 ", 47 ," 1,252 ", 31 
China,2021,Meat & Seafood," 1,265 "," 1,294 ", 95 , 224 , 66 
UK,2023,Prepared Food," 13,539 "," 13,489 ", 118 ," 1,357 ", 60 
Australia,2024,Dairy Products," 7,144 "," 7,953 ", 28 , 89 , 54 
South Africa,2023,Frozen Food," 24,039 "," 22,320 ", 63 ," 1,190 ", 49 
India,2018,Grains & Cereals," 6,040 "," 6,826 ", 185 , 860 , 34 
France,2018,Dairy Products," 41,959 "," 33,789 ", 100 , 123 , 43 
UK,2024,Frozen Food," 3,045 "," 3,599 ", 178 ," 1,286 ", 40 
Japan,2021,Beverages," 2,125 "," 1,744 ", 200 , 326 , 32 
South Africa,2023,Bakery Items," 4,162 "," 3,946 ", 98 , 740 , 50 
China,2021,Bakery Items," 1,117 "," 1,143 ", 47 ," 1,295 ", 38 
Canada,2018,Meat & Seafood," 15,659 "," 15,841 ", 120 , 571 , 67 
South Korea,2023,Dairy Products," 41,189 "," 40,979 ", 104 , 324 , 47 
Argentina,2020,Beverages," 13,193 "," 12,870 ", 139 ," 1,348 ", 34 
China,2019,Prepared Food," 26,699 "," 23,943 ", 164 ," 1,267 ", 45 
India,2023,Frozen Food," 11,293 "," 12,419 ", 191 , 691 , 62 
Saudi Arabia,2024,Meat & Seafood," 6,792 "," 5,505 ", 191 , 73 , 63 
UK,2022,Grains & Cereals," 7,116 "," 7,979 ", 40 , 176 , 61 
Turkey,2020,Frozen Food," 16,740 "," 13,886 ", 102 , 232 , 35 
South Korea,2021,Bakery Items," 36,475 "," 36,156 ", 170 , 185 , 69 
Argentina,2023,Beverages," 7,330 "," 7,120 ", 27 , 775 , 50 
South Africa,2019,Grains & Cereals," 30,026 "," 30,917 ", 177 , 550 , 43 
Spain,2023,Beverages," 43,509 "," 38,667 ", 71 ," 1,354 ", 60 
Italy,2018,Meat & Seafood," 39,209 "," 45,136 ", 84 , 531 , 43 
Spain,2024,Frozen Food," 14,042 "," 13,914 ", 160 , 672 , 58 
Australia,2023,Frozen Food," 45,076 "," 49,947 ", 98 , 919 , 51 
Russia,2020,Frozen Food," 2,397 "," 2,509 ", 194 ," 1,395 ", 40 
Australia,2023,Dairy Products," 37,063 "," 34,363 ", 36 ," 1,206 ", 38 
India,2019,Beverages," 16,866 "," 14,349 ", 35 ," 1,331 ", 50 
Japan,2018,Bakery Items," 22,795 "," 27,007 ", 50 ," 1,224 ", 60 
Canada,2021,Prepared Food," 43,187 "," 38,566 ", 38 ," 1,013 ", 44 
Japan,2023,Fruits & Vegetables," 23,700 "," 24,190 ", 70 ," 1,303 ", 50 
Russia,2018,Prepared Food," 5,143 "," 4,171 ", 119 , 108 , 33 
Turkey,2021,Grains & Cereals," 23,679 "," 24,717 ", 106 , 25 , 58 
Saudi Arabia,2021,Frozen Food," 27,721 "," 23,630 ", 36 , 483 , 49 
Russia,2022,Meat & Seafood," 22,093 "," 22,206 ", 43 , 636 , 58 
South Korea,2018,Dairy Products," 3,557 "," 3,688 ", 154 , 888 , 63 
Canada,2024,Beverages," 13,937 "," 13,293 ", 31 , 549 , 57 
USA,2022,Bakery Items," 2,909 "," 3,014 ", 166 , 498 , 62 
China,2019,Bakery Items," 42,999 "," 46,248 ", 176 , 239 , 50 
Mexico,2018,Prepared Food," 30,567 "," 29,522 ", 133 , 774 , 44 
Germany,2024,Fruits & Vegetables," 9,448 "," 9,575 ", 137 , 395 , 37 
Australia,2021,Fruits & Vegetables," 6,307 "," 6,017 ", 160 ," 1,257 ", 31 
USA,2018,Frozen Food," 17,195 "," 16,888 ", 77 , 302 , 38 
Saudi Arabia,2020,Prepared Food," 13,560 "," 12,193 ", 198 ," 1,021 ", 69 
Australia,2018,Bakery Items," 27,437 "," 32,892 ", 196 , 712 , 65 
Japan,2022,Grains & Cereals," 34,192 "," 27,454 ", 89 ," 1,025 ", 62 
Turkey,2023,Beverages," 27,838 "," 22,943 ", 108 , 769 , 49 
Spain,2024,Meat & Seafood," 32,261 "," 30,056 ", 37 ," 1,062 ", 42 
Italy,2018,Bakery Items," 46,470 "," 43,064 ", 63 ," 1,229 ", 34 
India,2021,Meat & Seafood," 28,458 "," 28,368 ", 151 , 138 , 55 
Spain,2018,Meat & Seafood," 32,783 "," 28,851 ", 50 , 238 , 37 
Turkey,2023,Prepared Food," 29,271 "," 28,089 ", 54 , 194 , 44 
South Africa,2018,Bakery Items," 46,279 "," 49,890 ", 59 , 27 , 45 
Brazil,2023,Meat & Seafood," 30,627 "," 32,845 ", 192 , 453 , 50 
Indonesia,2020,Beverages," 19,025 "," 15,990 ", 94 , 350 , 64 
Argentina,2024,Dairy Products," 24,562 "," 22,556 ", 163 , 799 , 33 
UK,2024,Fruits & Vegetables," 13,312 "," 15,226 ", 49 , 94 , 39 
South Korea,2024,Prepared Food," 11,274 "," 9,454 ", 163 , 899 , 50 
Germany,2020,Beverages," 20,222 "," 18,088 ", 197 , 470 , 39 
South Korea,2022,Grains & Cereals," 36,555 "," 38,456 ", 133 , 327 , 66 
Turkey,2020,Frozen Food," 36,147 "," 34,985 ", 105 ," 1,336 ", 39 
Germany,2018,Fruits & Vegetables," 9,120 "," 9,815 ", 145 ," 1,389 ", 55 
Brazil,2023,Grains & Cereals," 31,857 "," 28,869 ", 185 , 821 , 39 
Germany,2020,Meat & Seafood," 12,107 "," 13,854 ", 25 , 264 , 58 
South Korea,2019,Prepared Food," 48,412 "," 45,155 ", 83 , 411 , 66 
Canada,2019,Meat & Seafood," 25,633 "," 28,551 ", 184 ," 1,198 ", 33 
Turkey,2020,Fruits & Vegetables," 23,142 "," 21,236 ", 22 , 943 , 36 
Indonesia,2018,Prepared Food," 44,944 "," 47,469 ", 136 ," 1,223 ", 44 
India,2020,Prepared Food," 34,376 "," 33,217 ", 31 , 342 , 37 
France,2021,Prepared Food," 8,165 "," 7,396 ", 56 , 975 , 31 
UK,2018,Grains & Cereals," 15,882 "," 17,533 ", 64 , 44 , 57 
Argentina,2021,Prepared Food," 17,180 "," 16,230 ", 167 , 555 , 54 
India,2023,Beverages," 35,047 "," 28,836 ", 61 , 878 , 32 
Japan,2019,Dairy Products," 18,283 "," 19,908 ", 117 , 218 , 61 
Turkey,2019,Frozen Food," 27,908 "," 31,703 ", 123 , 840 , 66 
Spain,2018,Meat & Seafood," 24,334 "," 23,559 ", 144 , 765 , 49 
China,2021,Grains & Cereals," 27,104 "," 29,819 ", 35 , 725 , 41 
Argentina,2019,Meat & Seafood," 23,412 "," 23,514 ", 178 , 713 , 34 
Turkey,2021,Grains & Cereals," 24,006 "," 24,000 ", 149 , 347 , 65 
Japan,2020,Frozen Food," 20,685 "," 23,718 ", 178 , 906 , 34 
Russia,2019,Beverages," 43,986 "," 45,144 ", 98 , 806 , 43 
Indonesia,2019,Meat & Seafood," 43,933 "," 51,907 ", 52 ," 1,224 ", 32 
Russia,2022,Prepared Food," 34,298 "," 39,264 ", 51 ," 1,032 ", 63 
South Africa,2019,Prepared Food," 46,009 "," 45,497 ", 40 ," 1,157 ", 67 
Japan,2023,Dairy Products," 34,738 "," 27,946 ", 134 , 126 , 57 
Germany,2024,Beverages," 32,805 "," 27,649 ", 199 , 832 , 44 
Australia,2018,Prepared Food," 16,184 "," 13,070 ", 88 , 780 , 53 
India,2023,Beverages," 29,511 "," 26,246 ", 29 , 55 , 44 
Germany,2019,Grains & Cereals," 31,122 "," 29,275 ", 53 ," 1,090 ", 50 
Germany,2024,Dairy Products," 7,521 "," 6,162 ", 125 , 812 , 48 
Argentina,2022,Meat & Seafood," 28,725 "," 28,821 ", 126 , 412 , 49 
Italy,2018,Bakery Items," 18,906 "," 18,078 ", 47 , 630 , 68 
China,2021,Meat & Seafood," 44,967 "," 51,324 ", 195 , 743 , 52 
Saudi Arabia,2020,Fruits & Vegetables," 30,142 "," 34,332 ", 185 , 183 , 67 
Turkey,2024,Frozen Food," 1,035 ", 919 , 145 ," 1,097 ", 41 
France,2020,Dairy Products," 23,032 "," 25,473 ", 118 ," 1,061 ", 36 
Italy,2023,Grains & Cereals," 22,878 "," 18,854 ", 97 , 732 , 61 
Mexico,2019,Bakery Items," 31,125 "," 28,143 ", 128 , 903 , 50 
South Korea,2019,Dairy Products," 47,750 "," 39,216 ", 82 , 514 , 58 
Turkey,2021,Grains & Cereals," 40,455 "," 34,951 ", 42 ," 1,136 ", 67 
UK,2024,Frozen Food," 39,984 "," 38,330 ", 166 , 849 , 45 
Italy,2021,Meat & Seafood," 23,380 "," 21,260 ", 97 ," 1,086 ", 56 
Indonesia,2018,Frozen Food," 47,458 "," 55,337 ", 21 ," 1,379 ", 68 
China,2020,Frozen Food," 20,231 "," 24,123 ", 32 , 920 , 63 
Argentina,2020,Prepared Food," 36,544 "," 42,077 ", 76 , 742 , 67 
Japan,2020,Meat & Seafood," 37,141 "," 31,066 ", 161 , 195 , 47 
USA,2018,Grains & Cereals," 14,617 "," 17,039 ", 166 , 283 , 52 
UK,2019,Frozen Food," 28,458 "," 28,856 ", 156 ," 1,278 ", 66 
Russia,2019,Grains & Cereals," 37,998 "," 43,184 ", 104 , 268 , 62 
Germany,2019,Fruits & Vegetables," 4,787 "," 4,613 ", 57 , 687 , 38 
Argentina,2019,Bakery Items," 34,189 "," 27,863 ", 101 ," 1,127 ", 52 
Spain,2022,Fruits & Vegetables," 34,774 "," 38,032 ", 148 , 666 , 31 
Turkey,2022,Fruits & Vegetables," 22,313 "," 23,817 ", 165 , 681 , 46 
India,2024,Beverages," 14,354 "," 15,922 ", 84 , 778 , 34 
Indonesia,2019,Frozen Food," 23,497 "," 22,381 ", 80 , 638 , 51 
Mexico,2018,Meat & Seafood," 27,956 "," 27,445 ", 181 , 107 , 49 
South Africa,2023,Dairy Products," 9,000 "," 8,655 ", 196 ," 1,270 ", 46 
South Africa,2019,Frozen Food," 8,371 "," 8,827 ", 92 , 543 , 69 
Indonesia,2019,Grains & Cereals," 7,175 "," 7,270 ", 31 , 196 , 34 
France,2019,Frozen Food," 35,394 "," 33,418 ", 74 , 877 , 50 
France,2018,Dairy Products," 44,602 "," 40,578 ", 49 , 163 , 37 
South Africa,2019,Prepared Food," 16,335 "," 15,431 ", 24 ," 1,127 ", 49 
South Africa,2024,Prepared Food," 44,824 "," 52,764 ", 104 , 228 , 55 
South Africa,2020,Frozen Food," 9,384 "," 11,113 ", 48 ," 1,319 ", 54 
India,2024,Fruits & Vegetables," 3,827 "," 3,414 ", 167 ," 1,381 ", 32 
Japan,2019,Grains & Cereals," 23,250 "," 20,743 ", 165 , 234 , 49 
Turkey,2024,Fruits & Vegetables," 32,314 "," 34,639 ", 25 ," 1,145 ", 51 
Mexico,2021,Dairy Products," 4,824 "," 4,801 ", 94 , 700 , 42 
Saudi Arabia,2024,Grains & Cereals," 14,124 "," 12,918 ", 199 , 801 , 38 
Germany,2019,Fruits & Vegetables," 36,202 "," 35,041 ", 49 ," 1,148 ", 59 
India,2018,Grains & Cereals, 503 , 407 , 160 , 819 , 66 
Germany,2022,Meat & Seafood," 31,865 "," 30,789 ", 181 ," 1,304 ", 59 
India,2018,Fruits & Vegetables," 6,328 "," 6,403 ", 78 , 643 , 69 
Spain,2019,Frozen Food," 4,761 "," 4,323 ", 45 , 982 , 54 
UK,2024,Beverages," 42,759 "," 42,037 ", 117 , 484 , 49 
Spain,2022,Grains & Cereals," 31,902 "," 36,181 ", 103 , 157 , 41 
Australia,2018,Bakery Items," 13,305 "," 14,607 ", 73 ," 1,052 ", 32 
Indonesia,2018,Dairy Products," 26,115 "," 30,824 ", 144 ," 1,182 ", 62 
India,2021,Grains & Cereals," 38,697 "," 39,373 ", 165 ," 1,322 ", 53 
Spain,2018,Grains & Cereals," 4,642 "," 5,250 ", 195 , 926 , 36 
Spain,2020,Dairy Products," 32,535 "," 28,567 ", 55 , 548 , 45 
Saudi Arabia,2018,Prepared Food," 33,462 "," 38,879 ", 47 , 75 , 36 
Germany,2018,Dairy Products," 29,875 "," 26,717 ", 152 ," 1,030 ", 61 
Brazil,2023,Frozen Food," 30,810 "," 29,578 ", 165 ," 1,303 ", 60 
China,2019,Prepared Food," 29,804 "," 33,831 ", 124 , 550 , 49 
Indonesia,2024,Fruits & Vegetables," 40,420 "," 41,378 ", 149 ," 1,078 ", 66 
Mexico,2018,Grains & Cereals," 29,193 "," 32,608 ", 154 , 921 , 59 
Australia,2018,Prepared Food," 19,741 "," 21,471 ", 156 , 362 , 32 
Japan,2020,Frozen Food," 9,847 "," 7,935 ", 154 ," 1,322 ", 58 
China,2024,Meat & Seafood," 21,596 "," 20,771 ", 188 , 363 , 39 
Japan,2022,Meat & Seafood," 19,459 "," 22,447 ", 83 ," 1,062 ", 51 
Canada,2022,Bakery Items," 40,766 "," 40,015 ", 103 , 956 , 70 
South Korea,2023,Beverages," 7,829 "," 6,513 ", 175 ," 1,394 ", 33 
Saudi Arabia,2022,Beverages," 15,899 "," 16,552 ", 196 ," 1,357 ", 68 
India,2021,Frozen Food," 10,038 "," 10,618 ", 108 ," 1,192 ", 64 
Italy,2019,Dairy Products," 28,819 "," 26,518 ", 185 , 891 , 32 
Australia,2023,Prepared Food," 13,625 "," 13,845 ", 128 , 12 , 70 
Russia,2019,Beverages," 49,617 "," 47,665 ", 112 ," 1,196 ", 57 
France,2021,Fruits & Vegetables," 42,838 "," 46,371 ", 57 , 91 , 48 
Mexico,2024,Meat & Seafood, 817 , 717 , 109 , 917 , 32 
Spain,2018,Meat & Seafood," 17,135 "," 19,551 ", 186 , 589 , 37 
Indonesia,2021,Fruits & Vegetables," 38,562 "," 44,717 ", 76 ," 1,333 ", 33 
South Korea,2023,Prepared Food," 14,452 "," 12,965 ", 197 ," 1,209 ", 32 
Saudi Arabia,2021,Prepared Food," 13,212 "," 12,016 ", 98 , 452 , 43 
Mexico,2020,Meat & Seafood," 23,277 "," 23,992 ", 96 , 388 , 32 
Argentina,2022,Frozen Food," 33,412 "," 34,851 ", 104 , 331 , 65 
Brazil,2019,Frozen Food," 12,212 "," 14,310 ", 73 , 339 , 53 
Indonesia,2021,Frozen Food," 33,260 "," 27,668 ", 111 ," 1,390 ", 49 
Spain,2020,Dairy Products," 21,604 "," 20,116 ", 154 , 440 , 35 
Mexico,2021,Prepared Food," 37,107 "," 30,234 ", 177 , 604 , 53 
